favorite_count,in_reply_to_status_id,in_reply_to_user_id,place,retweet_count,retweeted,tweet_id
22970,,,,3108,False,835152434251116546
11081,,,,1692,False,834931633769889797
21784,,,,5627,False,834786237630337024
14004,,,,2602,False,834574053763584002
0,,,,10967,False,834477809192075265
9852,,,,1728,False,834458053273591808
21112,,,,4894,False,834209720923721728
16180,,,,3755,False,834167344700198914
10293,,,,2187,False,834089966724603904
13392,,,,2268,False,834086379323871233
13724,,,,2464,False,833863086058651648
18467,,,,3869,False,833826103416520705
0,,,,221,False,833732339549220864
21273,,,,3311,False,833722901757046785
15219,,,,2109,False,833479644947025920
20688,,,,4972,False,833124694597443584
13630,,,,2273,False,832998151111966721
0,,,,39,False,832769181346996225
17273,,,,3723,False,832757312314028032
12181,,,,3017,False,832682457690300417
3006,,,,540,False,832645525019123713
16259,,,,2869,False,832636094638288896
12251,,,,2280,False,832397543355072512
17620,,,,3287,False,832369877331693569
11618,,,,2406,False,832273440279240704
0,,,,6406,False,832215909146226688
0,,,,9653,False,832215726631055365
65,8.320875475599974e+17,30582082.0,,2,False,832088576586297345
0,,,,9940,False,832040443403784192
18337,,,,4805,False,832032802820481025
24621,,,,6328,False,831939777352105988
350,8.319030442248356e+17,20683724.0,,34,False,831926988323639298
28393,,,,6713,False,831911600680497154
10723,,,,1871,False,831670449226514432
7367,,,,1995,False,831650051525054464
9226,,,,2374,False,831552930092285952
9490,,,,1592,False,831322785565769729
6710,,,,1155,False,831315979191906304
12060,,,,2532,False,831309418084069378
12231,,,,2110,False,831262627380748289
8187,,,,1540,False,830956169170665475
68718,,,,17333,False,830583320585068544
0,,,,5895,False,830173239259324417
10111,,,,3062,False,830097400375152640
0,,,,5197,False,829878982036299777
12573,,,,2019,False,829861396166877184
32639,,,,10967,False,829501995190984704
10764,,,,2095,False,829449946868879360
25138,,,,7622,False,829141528400556032
54581,,,,16842,False,829011960981237760
0,,,,3523,False,828801551087042563
26298,,,,6071,False,828770345708580865
37636,,,,11611,False,828708714936930305
9789,,,,1404,False,828650029636317184
6515,,,,1199,False,828409743546925057
7906,,,,1336,False,828408677031882754
12989,,,,2294,False,828381636999917570
7607,,,,1110,False,828376505180889089
12929,,,,3050,False,828372645993398273
